date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-09-24,digest,claude-sonnet-5,2785,17086,2018802,109162
2026-09-24,defi-overview,claude-sonnet-5,3214,35341,4588249,114101
2026-09-24,token-movers,claude-sonnet-5,2638,20115,1900988,57639
2026-09-24,seo-audit,claude-sonnet-5,2507,24429,1467896,46403
2026-09-24,defi-overview,claude-sonnet-5,3379,42020,6277833,155301
2026-09-25,vuln-scanner,claude-sonnet-5,4521,85146,20254657,201947
2026-09-25,github-trending,claude-sonnet-5,2644,17415,1867267,94924
2026-09-25,article,claude-sonnet-5,2499,9866,1489886,112246
2026-09-25,write-tweet,claude-sonnet-5,2650,18456,2285616,103901
2026-09-25,deploy-prototype,claude-sonnet-5,2777,14451,1795473,40290
2026-09-25,github-trending,claude-sonnet-5,3240,41853,5091800,81882
2026-09-25,article,claude-sonnet-5,2626,14507,1624822,114761
2026-09-25,write-tweet,claude-sonnet-5,2930,21897,3366436,120814
2026-09-25,digest,claude-sonnet-5,2791,16972,2389816,110853
2026-09-26,github-monitor,claude-sonnet-5,2362,5773,1047891,67619
